Bahnhof_Gare_Stazione,Unité,Jahr,Anzahl Bahnhofbenutzer
Zürich Altstetten,DP/jour,2017,52800
Zürich Altstetten,DP/jour,2021,36900
Zürich Enge,DP/jour ouvré,2014,
Zürich Enge,DP/jour ouvré,2023,24900
Zürich Enge,DP/jour,2019,21900
Zürich Enge,DP/jour,2023,22000
Zürich Hardbrücke,DP/jour ouvré,2014,
Zürich Hardbrücke,DP/jour ouvré,2016,48400
Zürich Hardbrücke,DP/jour ouvré,2022,44100
Zürich Hardbrücke,DP/jour,2016,42000
Zürich Hardbrücke,DP/jour,2023,43700
Zürich Stadelhofen,DP/jour ouvré,2017,100000
Zürich Stadelhofen,DP/jour ouvré,2024,84500
Zürich Stadelhofen,DP/jour,2019,89200
Zürich Stadelhofen,DP/jour,2020,59600
Bellinzona,DP/jour ouvré,2015,
Bellinzona,DP/jour ouvré,2022,14400
Bellinzona,DP/jour ouvré,2023,15700
Bellinzona,DP/jour,2019,14500
Bellinzona,DP/jour,2023,14900
Lugano,DP/jour ouvré,2020,17000
Lugano,DP/jour,2016,
Lugano,DP/jour,2021,20100
Lugano,DP/jour,2024,31700
Zürich Oerlikon,DP/jour ouvré,2013,
Zürich Oerlikon,DP/jour ouvré,2017,106000
Zürich Oerlikon,DP/jour ouvré,2018,111700
Zürich Oerlikon,DP/jour ouvré,2020,84200
Zürich Oerlikon,DP/jour ouvré,2021,84500
Zürich Oerlikon,DP/jour ouvré,2024,113800
Zürich Oerlikon,DP/jour,2013,
Zürich Oerlikon,DP/jour,2022,95200
Uster,DP/jour ouvré,2013,
Uster,DP/jour ouvré,2014,
Uster,DP/jour ouvré,2015,
Uster,DP/jour ouvré,2016,
Uster,DP/jour ouvré,2017,
Uster,DP/jour ouvré,2022,25500
Uster,DP/jour ouvré,2024,27900
Uster,DP/jour,2022,24000
Uster,DP/jour,2024,26200
Genève-Eaux-Vives,DP/jour ouvré,2014,
Genève-Eaux-Vives,DP/jour ouvré,2017,
Genève-Eaux-Vives,DP/jour ouvré,2019,
Genève-Eaux-Vives,DP/jour ouvré,2020,
Genève-Eaux-Vives,DP/jour ouvré,2021,7600
Genève-Eaux-Vives,DP/jour,2020,
Genève-Eaux-Vives,DP/jour,2024,13100
Zürich HB,DP/jour ouvré,2015,437300
Zürich HB,DP/jour ouvré,2023,399000
Zürich HB,DP/jour ouvré,2024,405200
Zürich HB,DP/jour,2015,410200
Zürich HB,DP/jour,2019,436300
