Jahr,Kanton,Anzahl Bahnhofbenutzer,Generalabonnement,Halbtaxabonnement
2018,NE,30000,14601,76096
2023,NE,27100,14094,91226
2019,SO,76600,54083,183415
2013,SO,0,45640,158879
2018,SO,67800,52713,176704
2022,BE,35900,176788,891120
2019,BE,41700,209602,836766
2013,ZH,0,134037,808896
2017,ZH,64100,137614,863740
2015,ZH,46900,134166,801535
2017,ZH,52800,137614,863740
2021,ZH,36900,117271,981018
2014,ZH,0,135001,810452
2023,ZH,24900,126706,1064242
2019,ZH,21900,145026,927802
2023,ZH,22000,126706,1064242
2014,ZH,0,135001,810452
2016,ZH,48400,135991,819697
2022,ZH,44100,121981,1018686
2016,ZH,42000,135991,819697
2023,ZH,43700,126706,1064242
2017,ZH,100000,137614,863740
2024,ZH,84500,120436,1110621
2019,ZH,89200,145026,927802
2020,ZH,59600,126787,936077
2015,TI,0,6151,71740
2022,TI,14400,8916,112062
2023,TI,15700,9311,125292
2019,TI,14500,8095,94365
2023,TI,14900,9311,125292
2020,TI,17000,7528,92962
2016,TI,0,6438,74074
2021,TI,20100,7685,99371
2024,TI,31700,8914,138295
2013,ZH,0,134037,808896
2017,ZH,106000,137614,863740
2018,ZH,111700,142157,887154
2020,ZH,84200,126787,936077
2021,ZH,84500,117271,981018
2024,ZH,113800,120436,1110621
2013,ZH,0,134037,808896
2022,ZH,95200,121981,1018686
2013,ZH,0,134037,808896
2014,ZH,0,135001,810452
2015,ZH,0,134166,801535
2016,ZH,0,135991,819697
2017,ZH,0,137614,863740
2022,ZH,25500,121981,1018686
2024,ZH,27900,120436,1110621
2022,ZH,24000,121981,1018686
2024,ZH,26200,120436,1110621
2014,GE,0,11453,126376
2017,GE,0,11935,137868
2019,GE,0,12325,149615
2020,GE,0,10072,149591
2021,GE,7600,10531,158090
2020,GE,0,10072,149591
2024,GE,13100,11091,199284
2015,ZH,437300,134166,801535
2023,ZH,399000,126706,1064242
2024,ZH,405200,120436,1110621
2015,ZH,410200,134166,801535
2019,ZH,436300,145026,927802
