Kanton,Verbrauchsprofile typischer Haushalte,Periode,Produkt,Total exkl. MWST (Rp./kWH),Netznutzung (Rp./kWH),Energielieferungkosten (Rp./kWH),Abgaben an das Gemeinwesen (Rp./kWH),Förderabgaben (KEV) (Rp./kWH)
Waadt,C3,2019,Günstigstes Produkt,17.8248,7.0708,7.304,0.9,2.3
Luzern,C3,2023,Günstigstes Produkt,27.36503666666666,8.685777777777778,15.51088888888889,0.86837,2.3
Graubünden,H4,2018,Günstigstes Produkt,21.02666666666667,9.98666666666667,6.81312698412699,0.95,2.3
Freiburg,C3,2025,Günstigstes Produkt,24.1392,8.734133333333334,13.10506666666667,0,2.3
Bern,C3,2019,Günstigstes Produkt,21.04599999999995,10.0334444444444,8.51255555555555,0.2,2.3
Solothurn,C2,2022,Günstigstes Produkt,20.84183333333333,9.16,8.35,0.5,2.3
Tessin,H4,2023,Günstigstes Produkt,27.92333333333333,9.693333333333333,13.8,2.13,2.3
Graubünden,C3,2022,Günstigstes Produkt,19.50977777777778,8.809777777777779,7.5,0.8,2.3
Schaffhausen,C3,2020,Günstigstes Produkt,17.4116,8.9,6.2116,0,2.3
Graubünden,C3,2020,Günstigstes Produkt,18.96333333333333,8.252666666666665,7.75288888888889,0.95,2.3
Neuenburg,C2,2025,Günstigstes Produkt,26.314,12.764,9.65,1.6,2.3
Uri,H4,2022,Günstigstes Produkt,21.55822222222222,11.79888888888889,6.459333333333333,1,2.3
Thurgau,C2,2024,Günstigstes Produkt,29.5874,11.26848333333333,14.2,0.25,2.3
Thurgau,C2,2025,Günstigstes Produkt,28.49495,11.04571666666667,14.82,0.2,2.3
Obwalden,C2,2023,Günstigstes Produkt,27.79703333333334,9.133566666666667,14.96346666666667,1.4,2.3
Luzern,C3,2025,Günstigstes Produkt,20.1892,9.172,7.8,0.9172,2.3
Neuenburg,C3,2020,Günstigstes Produkt,20.96071388888889,6.54071388888889,10.52,1.6,2.3
Solothurn,H4,2019,Günstigstes Produkt,22.06,9.67333333333333,8.28407142857143,1.0156,2.3
Graubünden,H5,2022,Günstigstes Produkt,20.2536,8.3248,7.65,1.14,2.3
Luzern,H4,2024,Günstigstes Produkt,29.53047,11.24466666666667,14.98133333333333,1.00447,2.3
Bern,H5,2022,Günstigstes Produkt,22.26426666666667,9.961333333333334,8.502933333333333,1.5,2.3
Freiburg,C3,2023,Günstigstes Produkt,23.33071388888889,7.040713888888889,13.99,0,2.3
Obwalden,H4,2023,Günstigstes Produkt,29.37619047619048,10.81428571428571,14.86190476190476,1.4,2.3
Zürich,C2,2024,Günstigstes Produkt,26.25465,13.40745,7.9972,2.55,2.3
Glarus,C3,2022,Günstigstes Produkt,19.88533333333333,10.308,6.977333333333333,0.3,2.3
St. Gallen,H4,2025,Günstigstes Produkt,29.72333333333333,11.83333333333333,14.99,0.6,2.3
St. Gallen,C2,2019,Günstigstes Produkt,19.36985266945219,7.30891364902507,7.36630833333334,0.87,2.3
Waadt,C3,2022,Günstigstes Produkt,21.05377777777778,7.960444444444445,8.223333333333333,2.57,2.3
Appenzell Ausserrhoden,H5,2022,Günstigstes Produkt,17.62614285714286,7.978785714285714,7.347357142857143,0,2.3
Jura,C3,2025,Günstigstes Produkt,24.16776111111111,11.00553888888889,10.46222222222222,0.4,2.3
Basel-Landschaft,C3,2020,Günstigstes Produkt,17.72090166333334,7.78666666666667,7.21154166666667,0.42269333,2.3
Graubünden,C3,2024,Günstigstes Produkt,31.24244444444444,13.27083333333333,13.6,2,2.3
